,web_url,pub_date,document_type,news_desk,section_name,type_of_material,main_headline,print_headline,by
0,https://www.nytimes.com/2019/12/31/us/texas-church-shooting-white-settlement.html,2020-01-01T00:14:41+0000,article,National,U.S.,News,‘Battling a Demon’: Drifter Sought Help Before Texas Church Shooting,Church Had Welcomed the Man Who Opened Fire,"Dave Montgomery, Anemona Hartocollis and Rick Rojas"
1,https://www.nytimes.com/2019/12/31/opinion/for-profit-college-veterans.html,2020-01-01T00:18:54+0000,article,Editorial,Opinion,Editorial,Protect Veterans From Fraud,Protect Veterans From Fraud,The Editorial Board
2,https://www.nytimes.com/2019/12/31/health/e-cigarettes-flavor-ban-trump.html,2020-01-01T01:22:27+0000,article,Science,Health,News,F.D.A. Plans to Ban Most E-Cigarette Flavors but Menthol,U.S. Set to Ban Vaping Flavors Teens Use Most,Sheila Kaplan and Maggie Haberman
3,https://www.nytimes.com/2019/12/31/crosswords/daily-puzzle-2020-01-01.html,2020-01-01T03:00:10+0000,article,Games,Crosswords & Games,News,‘It’s Green and Slimy’,,Deb Amlen
4,https://www.nytimes.com/2019/12/31/pageoneplus/corrections-jan-1-2020.html,2020-01-01T03:28:45+0000,article,Corrections,Corrections,Correction,"Corrections: Jan. 1, 2020",Corrections,
5,https://www.nytimes.com/2019/12/31/todayspaper/quotation-of-the-day-ex-seal-now-pitching-products-and-president.html,2020-01-01T03:37:44+0000,article,Summary,Today’s Paper,Quote,Quotation of the Day: Ex-SEAL Now Pitching Products and President,Quote of the Day,
6,https://www.nytimes.com/interactive/2019/12/31/world/middleeast/syria-united-nations-investigation.html,2020-01-01T03:48:11+0000,multimedia,World,World,Interactive Feature,Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.,Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.<b> </b>,"Malachy Browne, Christiaan Triebert, Evan Hill, Whitney Hurst, Gabriel Gianordoli and Dmitriy Khavin"
7,https://www.nytimes.com/2020/01/01/world/asia/hong-kong-protest.html,2020-01-01T04:36:41+0000,article,Foreign,World,News,Hong Kong Protesters Return to Streets as New Year Begins,"Protesters’ Confidence Slipping, Hong Kong Clashes Resume","Russell Goldman, Elaine Yu and Lam Yik Fei"
8,https://www.nytimes.com/2019/12/31/us/kevin-spacey-lawsuit-accuser.html,2020-01-01T04:41:51+0000,article,Express,U.S.,News,Kevin Spacey Accuser’s Estate Drops Sexual Assault Lawsuit,Man’s Estate Drops Lawsuit Accusing Actor of Sex Assault,Neil Vigdor
9,https://www.nytimes.com/2019/12/31/us/politics/trump-new-years-eve.html,2020-01-01T04:54:40+0000,article,Washington,U.S.,News,Dizzying Day for Trump Caps a Year Full of Them,Dizzying Day For President Caps a Year Full of Them,Michael Crowley
10,https://www.nytimes.com/2020/01/01/science/meteor-showers-2020.html,2020-01-01T05:00:08+0000,article,Science,Science,News,Meteor Showers in 2020 That Will Light Up Night Skies,,Nicholas St. Fleur
11,https://www.nytimes.com/interactive/2020/science/2020-astronomy-space-calendar.html,2020-01-01T05:00:12+0000,multimedia,Science,Science,Interactive Feature,Sync your calendar with the solar system,,Michael Roston
12,https://www.nytimes.com/2020/01/01/science/space-astronomy-2020.html,2020-01-01T05:02:38+0000,article,Science,Science,News,"Rocket Launches, Trips to Mars and More 2020 Space and Astronomy Events",Space Preview: Peering Into the Universe With 2020 Vision,Michael Roston
13,https://www.nytimes.com/2020/01/01/arts/television/whats-on-tv-wednesday-a-linda-ronstadt-doc-and-doctor-who.html,2020-01-01T06:00:06+0000,article,Culture,Arts,News,What’s on TV Wednesday: A Linda Ronstadt Doc and ‘Doctor Who’,What’s On Wednesday,Gabe Cohn
14,https://www.nytimes.com/2020/01/01/world/middleeast/iraq-embassy-iran.html,2020-01-01T08:00:12+0000,article,Foreign,World,News,How the U.S. Embassy in Iraq Became a Target,American Airstrikes Stir Anger From the Iraqis,Alan Yuhas
15,https://www.nytimes.com/2020/01/01/business/future-electric-cars-2020.html,2020-01-01T08:00:13+0000,article,Business,Business Day,News,10 Electric Vehicles to Watch,Zero to 60 in 2.2 Seconds? Electric Vehicles to Watch,Eric A. Taub
16,https://www.nytimes.com/2020/01/01/world/australia/fires.html,2020-01-01T09:17:49+0000,article,Foreign,World,News,Why the Fires in Australia Are So Bad,Why the Fire Season In Australia Is So Bad,"Andy Parsons, Russell Goldman and Matthew Abbott"
17,https://www.nytimes.com/2020/01/01/world/middleeast/us-embassy-baghdad-iraq.html,2020-01-01T09:25:54+0000,article,Foreign,World,News,Pro-Iranian Protesters End Siege of U.S. Embassy in Baghdad,Pro-Iran Clash At U.S. Embassy Ends in Baghdad,Falih Hassan and Alissa J. Rubin
18,https://www.nytimes.com/2020/01/01/magazine/judge-john-hodgman-on-uncle-money-bags.html,2020-01-01T10:00:01+0000,article,Magazine,Magazine,News,Judge John Hodgman on Uncle Money Bags,,Judge John Hodgman
19,https://www.nytimes.com/2020/01/01/magazine/cardiac-tumor-papillary-fibroelastoma-diagnosis.html,2020-01-01T10:00:01+0000,article,Magazine,Magazine,News,"She Felt Fine, but Her M.R.I. Showed Several Strokes. What Was Wrong?","She Felt Fine, but Her M.R.I. Showed Several Strokes. What Was Wrong?","Lisa Sanders, M.D"
20,https://www.nytimes.com/2020/01/01/magazine/armenian-flatbreads-jingalov-hats-recipe.html,2020-01-01T10:00:04+0000,article,Magazine,Magazine,News,These Armenian Flatbreads Stuffed With Greens Are the Perfect Snack,These Armenian Flatbreads Stuffed With Greens Are the Perfect Snack,Tejal Rao
21,https://www.nytimes.com/2020/01/01/books/review-dont-believe-word-david-shariatmadari.html,2020-01-01T10:00:05+0000,article,Culture,Books,Review,"‘Don’t Believe a Word,’ a Look at Language and Power (and Why Dolphins Have Accents)",What You’re Saying Is Subject to Reinvention,Parul Sehgal
22,https://www.nytimes.com/2020/01/01/well/eat/eat-better-feel-better-food-advice-from-the-year-in-well.html,2020-01-01T10:00:06+0000,article,Well,Well,News,"Eat Better, Feel Better? Food Advice From the Year in Well",,The New York Times
23,https://www.nytimes.com/2020/01/01/magazine/prison-parole-california.html,2020-01-01T10:00:08+0000,article,Magazine,Magazine,News,Can You Talk Your Way Out of a Life Sentence?,How to Get Out Of Prison,Dashka Slater
24,https://www.nytimes.com/2020/01/01/magazine/poem-the-far-norway-maples.html,2020-01-01T10:00:08+0000,article,Magazine,Magazine,News,Poem: The Far Norway Maples,,Arthur Sze and Naomi Shihab Nye
25,https://www.nytimes.com/2020/01/01/well/new-years-resolution-be-more-honest.html,2020-01-01T10:00:08+0000,article,Well,Well,News,New Year’s Resolution: Be More Honest,,Judi Ketteler
26,https://www.nytimes.com/2020/01/01/well/move/exercise-physical-activity-workout-time.html,2020-01-01T10:00:13+0000,article,Well,Well,News,No More Excuses Not to Exercise,"Drop the Phone, Grab the Bike",Gretchen Reynolds
27,https://www.nytimes.com/2020/01/01/travel/antarctica-cruises.html,2020-01-01T10:00:15+0000,article,Travel,Travel,News,New Cruise Ships to Set Sail for Antarctica,Set Sail for Antarctica,Nora Walsh
28,https://www.nytimes.com/2020/01/01/technology/personaltech/tech-trends-2020.html,2020-01-01T10:00:16+0000,article,Business,Technology,News,The Tech That Will Invade Our Lives in 2020,Getting Siri And Alexa To Cooperate,Brian X. Chen
29,https://www.nytimes.com/2020/01/01/nyregion/igloos-nyc-bars-hotels.html,2020-01-01T10:00:17+0000,article,Metropolitan,New York,News,Inside the Fake Igloo Rooftop Wars,Now We Really Do Exist in Our Own Bubbles,Alyson Krueger
30,https://www.nytimes.com/2020/01/01/movies/adam-driver-marriage-story.html,2020-01-01T10:00:19+0000,article,Arts&Leisure,Movies,News,Adam Driver Has Put Everything He’s Got Onscreen,He Can’t Look Back,Kyle Buchanan
31,https://www.nytimes.com/2020/01/01/arts/dance/costumes-couturiers-de-la-danse.html,2020-01-01T10:00:21+0000,article,Arts&Leisure,Arts,News,Couture Creations for Dancing Bodies,Couture for Bodies In Motion,Roslyn Sulcas
32,https://www.nytimes.com/2020/01/01/us/100-years-ago-the-booziest-january-suddenly-dried-up.html,2020-01-01T10:00:22+0000,article,Photo,U.S.,News,"100 Years Ago, the Booziest January Suddenly Dried Up","A Splashy Start to Prohibition, 100 Not-So-Dry Januaries Ago",Jennifer Harlan
33,https://www.nytimes.com/2020/01/01/us/politics/elizabeth-warren-medicare-for-all.html,2020-01-01T10:00:22+0000,article,Politics,U.S.,News,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,Warren Keeps Medicare Plan At a Distance,Astead W. Herndon
34,https://www.nytimes.com/slideshow/2020/01/01/realestate/living-in-bedminster-nj.html,2020-01-01T10:00:22+0000,multimedia,Real Estate,Real Estate,Slideshow,"Living In ... Bedminster, N.J.",,
35,https://www.nytimes.com/2020/01/01/us/university-of-wisconsin-race-video.html,2020-01-01T10:00:25+0000,article,National,U.S.,News,"In a Homecoming Video Meant to Unite Campus, Almost Everyone Was White","A Racial Divide on Campus, Visible in an Instant",
36,https://www.nytimes.com/2020/01/01/realestate/bedminster-nj-horses-golf-and-presidential-visits.html,2020-01-01T10:01:24+0000,article,RealEstate,Real Estate,News,"Bedminster, N.J.: Horses, Golf and Presidential Visits",Horses and Historic Sites Abound in This Town,Jill P. Capuzzo
37,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html,2020-01-01T10:12:44+0000,article,Business,Business Day,News,China Moves to Steady Its Slowing Economic Growth,China Injects $115 Billion To Stabilize Its Economy,Carlos Tejada and Ben Casselman
38,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-fundraising.html,2020-01-01T10:53:14+0000,article,Politics,U.S.,News,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,Buttigieg Shows Fund-Raising Strength With a $24.7 Million Quarter,Thomas Kaplan
39,https://www.nytimes.com/2020/01/01/business/rifle-paper-co.html,2020-01-01T13:00:09+0000,article,SundayBusiness,Business Day,News,"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries",She Hopes You Buy a Planner. A Paper One.,Katherine Rosman
40,https://www.nytimes.com/2020/01/01/world/canada/pokemon-go-canada-military.html,2020-01-01T13:12:46+0000,article,Express,World,News,Pika-Who? How Pokémon Go Confused the Canadian Military,Pika-Who? How Canada’s Military Reacted to a Pokémon Go Invasion,Mariel Padilla
41,https://www.nytimes.com/2020/01/01/world/asia/north-korea-kim-trump.html,2020-01-01T13:22:12+0000,article,Foreign,World,News,What Kim Jong-un’s Latest Threats Say About His Trump Strategy,Kim’s Saber-Rattling Stops Short of Scuttling Possibility of a Deal With Trump,Choe Sang-Hun
42,https://www.nytimes.com/2020/01/01/world/americas/mexico-prison-fight.html,2020-01-01T13:50:02+0000,article,Foreign,World,News,Mexico Prison Fight Leaves at Least 16 Inmates Dead,3-Hour Fight In Mexican Jail Leaves 16 Dead,Elian Peltier
